"ASV","s.inflammation_no_surgery","s.inflammation_with_surgery","s.no_inflammation_no_surgery","s.no_inflammation_with_surgery","index","stat","p.value","Domain","Phylum","Class","Order","Family","Genus","Species"
"f676fb863d1139641d306d0a2f07a14b",1,1,1,0,11,0.921166908318396,0.01,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Butyricicoccaceae","g__Butyricicoccus",NA
"6819da2eadde15bfa596f5acdd17ba9e",1,0,1,0,6,0.711209226200366,0.005,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Butyricimonas",NA
"8ae42785911ad30fa105a19869b94e91",1,0,1,0,6,0.797518052451858,0.015,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Odoribacter","s__Odoribacter_splanchnicus"
"4e4abbe815c85701ae77ecf9fd3bc702",1,0,1,1,13,0.981777160630065,0.01,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella",NA
"01e58ee1c17ef50bb54f689cd2dd3da5",0,0,1,0,3,0.57488653452442,0.035,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Alloprevotella",NA
"e1bc3fe6d14de3bb1db925206f0239a7",1,0,1,0,6,0.848874150368995,0.005,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Barnesiella",NA
"ca1a9bae5adb6b71535144346469f200",1,0,1,0,6,0.713996666691937,0.015,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Defluviitaleaceae","g__Defluviitaleaceae_UCG-011",NA
"f0143441c5a8a01ba31592825d9e47ef",1,0,1,0,6,0.932031089068424,0.01,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Agathobacter",NA
"5f3d16b803aaa2896227ae65b06ff9d5",1,1,1,0,11,0.869449748022379,0.015,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia",NA
"b1573eaa9d9595b696ce371a940335c2",0,1,0,1,9,0.848430534430888,0.025,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Ruminococcus]_gnavus_group",NA
"325c8e73592b2e5b7602b25b0be60208",1,0,1,0,6,0.612513596310678,0.04,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Eisenbergiella","s__uncultured_organism"
"1c397c30874dca6008de28a73e2b8431",1,0,1,0,6,0.743728622223399,0.015,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Eubacterium]_xylanophilum_group",NA
"5b4f2c3e1d686ba6b1b1a5bbd008b0ca",1,0,1,0,6,0.781438880728691,0.04,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214_group","s__metagenome"
"17d294491c706b3f4bf05e2ecb1b4aa7",1,0,1,0,6,0.914589016771856,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__uncultured_organism"
"10ff7472dca17bdc6157f68bcf25e808",1,0,1,0,6,0.606976978666884,0.015,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcaceae","s__uncultured_bacterium"
"fd52be7401d968e975b6e77522abdccb",1,0,1,0,6,0.792078679362784,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Negativibacillus",NA
